earth_mass,planet_mass,result,failure_time
1,30.87248322147651,stable,335.40000000000003
1,31.006711409395972,stable,335.40000000000003
1,31.140939597315437,stable,335.40000000000003
1,31.2751677852349,stable,335.40000000000003
1,31.40939597315436,stable,335.40000000000003
1,31.543624161073826,stable,335.40000000000003
1,31.67785234899329,collision,159.328416
1,31.812080536912752,stable,335.40000000000003
1,31.946308724832214,stable,335.40000000000003
1,32.080536912751676,stable,335.40000000000003
1,32.214765100671144,stable,335.40000000000003
1,32.348993288590606,stable,335.40000000000003
1,32.48322147651007,stable,335.40000000000003
1,32.61744966442953,stable,335.40000000000003
1,32.75167785234899,stable,335.40000000000003
1,32.88590604026845,stable,335.40000000000003
1,33.02013422818792,stable,335.40000000000003
1,33.15436241610738,stable,335.40000000000003
1,33.288590604026844,stable,335.40000000000003
1,33.42281879194631,stable,335.40000000000003
1,33.557046979865774,stable,335.40000000000003
1,33.691275167785236,stable,335.40000000000003
1,33.8255033557047,collision,20.912190000000002
1,33.95973154362416,collision,17.858373
1,34.09395973154362,stable,335.40000000000003
1,34.22818791946309,collision,91.037622
1,34.36241610738255,collision,188.380764
1,34.49664429530201,stable,335.40000000000003
1,34.63087248322148,stable,335.40000000000003
1,34.76510067114094,stable,335.40000000000003
1,34.899328859060404,stable,335.40000000000003
1,35.033557046979865,stable,335.40000000000003
1,35.16778523489933,stable,335.40000000000003
1,35.30201342281879,stable,335.40000000000003
1,35.43624161073826,stable,335.40000000000003
1,35.57046979865772,stable,335.40000000000003
1,35.70469798657718,stable,335.40000000000003
1,35.83892617449664,stable,335.40000000000003
1,35.97315436241611,stable,335.40000000000003
1,36.10738255033557,stable,335.40000000000003
1,36.241610738255034,stable,335.40000000000003
1,36.375838926174495,stable,335.40000000000003
1,36.51006711409396,stable,335.40000000000003
1,36.64429530201342,stable,335.40000000000003
1,36.77852348993289,stable,335.40000000000003
1,36.91275167785235,stable,335.40000000000003
1,37.04697986577182,stable,335.40000000000003
1,37.18120805369128,stable,335.40000000000003
